query,semantic,metric,predicate,width,height,depth,mu_x,mu_y,mu_z,sigma_s,x0,y0,z0,d0,sigma_m,theta0,phi0,kappa,room_x,room_y,room_z,room_width,room_height,room_depth,parent_room,P_combined
6.24 meters front bed,bed,6.2390361781857875,front,2.3060675840422027,1.1140215196559633,2.5599327073019706,-6.220900651304321,-5.008140148940859,3.21746999473163,1.2799663536509853,-6.220900651304321,-5.008140148940859,3.21746999473163,6.24,0.7679798121905912,1.5707963267948966,1.5707963267948966,3.90635268320762,-4.901275,-4.10262,4.02501,5.03139,2.7556399999999996,5.33024,4,4.614615392414092e-15
8.01 meters behind potted plant,potted plant,8.006615439663271,behind,0.13675635761611327,0.192163101105159,0.16877423756393828,-3.431563506176909,-5.563912435553428,0.8793896834619862,0.0960815505525795,-3.431563506176909,-5.563912435553428,0.8793896834619862,8.01,0.05764893033154769,4.71238898038469,1.5707963267948966,52.03912687965843,-5.3843749999999995,-4.115965,1.1871730000000003,5.51159,2.4101540000000004,5.3351299999999995,12,0.0
7.23 meters below toilet,toilet,7.233133887945989,below,0.24129706160999298,0.6318164875528756,0.5888035757237982,-10.501183343214388,0.5583660484365035,3.0687024961521265,0.2091369993504717,-10.501183343214388,0.5583660484365035,3.0687024961521265,7.23,0.125482199610283,0.0,3.141592653589793,23.907773447686328,-9.21181,-1.2098959999999996,3.83122,3.779779999999999,2.34766,4.358268,3,0.0
5.01 meters below chair,chair,5.007978359287411,below,0.3087879266575877,0.5528091365513129,1.646884418666743,-2.5661950396173414,-4.40288463526875,0.6557105730122503,0.8234422093333715,-2.5661950396173414,-4.40288463526875,0.6557105730122503,5.01,0.4940653256000229,0.0,3.141592653589793,6.0720715349870344,-0.5029300000000001,-3.7433250000000005,1.0974825000000004,4.45508,2.560895,4.54655,13,4.6927187957949133e-23
7.98 meters right tv,tv,7.979586562362197,right,1.4136387337767453,0.7600657950011436,1.1151727261675992,1.020821798723925,1.0666991044874081,0.9350446596712716,0.7068193668883727,1.020821798723925,1.0666991044874081,0.9350446596712716,7.98,0.4240916201330236,0.0,1.5707963267948966,7.073943123561363,-0.17086999999999986,0.10506000000000015,1.1783815000000002,3.8574200000000003,2.3847570000000005,3.0424800000000003,11,1.539338880025087e-74
5.18 meters behind book,book,5.18309984937663,behind,0.20893007034817623,0.36383475421780687,0.597404570457327,-1.779408805203084,-0.5092835842504091,1.5100105239436603,0.21063692174810023,-1.779408805203084,-0.5092835842504091,1.5100105239436603,5.18,0.12638215304886014,4.71238898038469,1.5707963267948966,23.73752881738121,-0.17086999999999986,0.10506000000000015,1.1783815000000002,3.8574200000000003,2.3847570000000005,3.0424800000000003,11,0.0
7.34 meters below book,book,7.342920796941129,below,0.241545322967061,0.4958122268586358,0.8508756577355365,1.536582151281667,-2.488528382150262,4.132380423955373,0.40747627599624336,1.536582151281667,-2.488528382150262,4.132380423955373,7.34,0.244485765597746,0.0,3.141592653589793,12.270653028266354,-0.33592500000000003,-3.74965,3.80619,4.04467,2.3360199999999995,4.517060000000001,17,1.8974285640922418e-196
8.83 meters right book,book,8.830796507221613,right,0.25081921892592973,0.4970657340507847,0.6123154708821479,-1.779408805203084,-0.5092835842504091,1.5100105239436603,0.21063692174810023,-1.779408805203084,-0.5092835842504091,1.5100105239436603,8.83,0.12638215304886014,0.0,1.5707963267948966,23.73752881738121,-0.17086999999999986,0.10506000000000015,1.1783815000000002,3.8574200000000003,2.3847570000000005,3.0424800000000003,11,0.0
4.15 meters left book,book,4.152995321418411,left,0.23643058629848723,0.2836283486437119,0.2488359774375205,-1.779408805203084,-0.5092835842504091,1.5100105239436603,0.21063692174810023,-1.779408805203084,-0.5092835842504091,1.5100105239436603,4.15,0.12638215304886014,3.141592653589793,1.5707963267948966,23.73752881738121,-0.17086999999999986,0.10506000000000015,1.1783815000000002,3.8574200000000003,2.3847570000000005,3.0424800000000003,11,3.540719913703741e-245
8.22 meters right chair,chair,8.217899119250262,right,1.1140342669202692,0.9382184350650282,0.7907253628171735,-8.52460925813587,-1.0824626219564935,0.4674616559853013,0.46689619656954634,-8.52460925813587,-1.0824626219564935,0.4674616559853013,8.22,0.2801377179417278,0.0,1.5707963267948966,10.709018485772194,-9.19996,-1.0966399999999998,1.1632514999999999,3.8484800000000003,2.366217,4.1661,10,4.87810258185958e-183
7.74 meters above book,book,7.736483838857964,above,0.3035597145642126,0.41236067512464336,0.5032990939678008,-0.113339690353431,1.9602619006513926,2.8638562672687335,0.23058407500750544,-0.113339690353431,1.9602619006513926,2.8638562672687335,7.74,0.13835044500450325,0.0,0.0,21.684064694568573,-0.08180999999999994,3.91699,3.806315,3.78756,2.31477,4.4938199999999995,6,0.0
4.64 meters front handbag,handbag,4.635036256906948,front,0.3419568652917291,0.45611921354384455,0.3872292061864351,-0.8041992929123619,-1.2166306918824918,2.8753754086831886,0.22805960677192227,-0.8041992929123619,-1.2166306918824918,2.8753754086831886,4.64,0.13683576406315337,1.5707963267948966,1.5707963267948966,21.924092875422684,-0.11858999999999997,0.08936500000000014,3.794285,3.7397,2.3278299999999996,3.03579,5,2.0692633963370948e-250
4.13 meters front potted plant,potted plant,4.127513218998661,front,0.13675635761611327,0.192163101105159,0.16877423756393828,-3.431563506176909,-5.563912435553428,0.8793896834619862,0.0960815505525795,-3.431563506176909,-5.563912435553428,0.8793896834619862,4.13,0.05764893033154769,1.5707963267948966,1.5707963267948966,52.03912687965843,-5.3843749999999995,-4.115965,1.1871730000000003,5.51159,2.4101540000000004,5.3351299999999995,12,0.0
5.44 meters below refrigerator,refrigerator,5.441174855038443,below,1.012714319036304,1.8444342299981236,0.24111045501415518,-6.840756660627993,-2.124975764969402,0.9119784043248459,0.9222171149990618,-6.840756660627993,-2.124975764969402,0.9119784043248459,5.44,0.553330268999437,0.0,3.141592653589793,5.421716772199664,-5.3843749999999995,-4.115965,1.1871730000000003,5.51159,2.4101540000000004,5.3351299999999995,12,1.0266212689457095e-21
9.67 meters right potted plant,potted plant,9.672278231040979,right,0.1679711346031887,0.25174765369648155,0.23912916337711998,-9.105957030097564,-0.6317893356593669,0.8547200711678641,0.09706960539101517,-9.105957030097564,-0.6317893356593669,0.8547200711678641,9.67,0.0582417632346091,0.0,1.5707963267948966,51.50942954655097,-9.19996,-1.0966399999999998,1.1632514999999999,3.8484800000000003,2.366217,4.1661,10,0.0
1.41 meters front potted plant,potted plant,1.4075681591072131,front,0.16791641244566513,0.19413921078203034,0.17849836355175297,-9.105957030097564,-0.6317893356593669,0.8547200711678641,0.09706960539101517,-9.105957030097564,-0.6317893356593669,0.8547200711678641,1.41,0.0582417632346091,1.5707963267948966,1.5707963267948966,51.50942954655097,-9.19996,-1.0966399999999998,1.1632514999999999,3.8484800000000003,2.366217,4.1661,10,5.379501761626347e-128
8.11 meters left chair,chair,8.109184614588028,left,0.38305026274483234,0.9486648978287446,0.45691386829830805,0.10928255203659476,9.230518156826234,2.940042220500042,0.28831633344944085,0.10928255203659476,9.230518156826234,2.940042220500042,8.11,0.1729898000696645,3.141592653589793,1.5707963267948966,17.34206293545558,-0.35977999999999977,8.023005,3.8142699999999996,5.7488600000000005,2.31866,4.013789999999999,15,0.0
5.14 meters left book,book,5.136422022567,left,0.22616393661250322,0.40787304246503586,0.8149525519924867,1.536582151281667,-2.488528382150262,4.132380423955373,0.40747627599624336,1.536582151281667,-2.488528382150262,4.132380423955373,5.14,0.244485765597746,3.141592653589793,1.5707963267948966,12.270653028266354,-0.33592500000000003,-3.74965,3.80619,4.04467,2.3360199999999995,4.517060000000001,17,4.92660055719229e-102
3.01 meters above book,book,3.014499563404434,above,0.2045035714147596,0.3544110920053516,0.7196240955078705,1.536582151281667,-2.488528382150262,4.132380423955373,0.40747627599624336,1.536582151281667,-2.488528382150262,4.132380423955373,3.01,0.244485765597746,0.0,0.0,12.270653028266354,-0.33592500000000003,-3.74965,3.80619,4.04467,2.3360199999999995,4.517060000000001,17,1.2190992734140369e-33
7.37 meters below book,book,7.374458278765832,below,0.19419548727946734,0.43160415817736353,0.5887858925726024,-1.779408805203084,-0.5092835842504091,1.5100105239436603,0.21063692174810023,-1.779408805203084,-0.5092835842504091,1.5100105239436603,7.37,0.12638215304886014,0.0,3.141592653589793,23.73752881738121,-0.17086999999999986,0.10506000000000015,1.1783815000000002,3.8574200000000003,2.3847570000000005,3.0424800000000003,11,0.0
6.66 meters left umbrella,umbrella,6.6561288993185155,left,1.3974787047187904,1.5885759816253846,1.4259457846115438,-0.5968458311411475,4.277855693017166,3.450312309809785,0.7942879908126923,-0.5968458311411475,4.277855693017166,3.450312309809785,6.66,0.47657279448761536,3.141592653589793,1.5707963267948966,6.294945986636592,-0.08180999999999994,3.91699,3.806315,3.78756,2.31477,4.4938199999999995,6,7.21909070979818e-46
