query,semantic,metric,predicate,width,height,depth,mu_x,mu_y,mu_z,sigma_s,x0,y0,z0,d0,sigma_m,theta0,phi0,kappa,room_x,room_y,room_z,room_width,room_height,room_depth,parent_room,P_combined
1.99 meters left potted plant,potted plant,1.9886992458620345,left,0.5393829034894466,0.4368416274906326,0.0734526616886279,-8.529078713338903,-3.0996075351297145,3.773297672918285,0.08358867107314673,-8.529078713338903,-3.0996075351297145,3.773297672918285,1.99,0.1125522490183177,3.441773131912376,1.8529657417122607,16.899111520251452,-9.21181,-1.2098959999999996,3.83122,3.779779999999999,2.34766,4.358268,3,2.4246420812251413e-75
5.29 meters above book,book,5.290362063898367,above,0.4297801907110781,0.3835695899080176,0.4611681500150109,-0.113339690353431,1.9602619006513928,2.863856267268733,0.10036612432127359,-0.113339690353431,1.9602619006513928,2.863856267268733,5.29,0.1383504450045032,0.05113616126691415,0.0,21.600058907047128,-0.0818099999999999,3.91699,3.806315,3.78756,2.31477,4.49382,6,3.37792e-318
6.24 meters front chair,chair,6.243324219899694,front,0.6938942986209757,0.5391165230011727,0.5430353665269334,-2.5661950396173414,-4.40288463526875,0.6557105730122503,0.9113820068196544,-2.5661950396173414,-4.40288463526875,0.6557105730122503,6.24,0.4940653256000229,1.881913100966476,1.5906055360632614,11.708277569827198,-0.5029300000000001,-3.743325000000001,1.0974825000000004,4.45508,2.560895,4.54655,13,6.391010424094541e-37
6.39 meters left couch,couch,6.387011497922698,left,1.0822601453524945,0.9847358251496914,2.003422124765557,-1.792583255559534,-3.81059596852274,3.141934143831179,1.0484619966079833,-1.792583255559534,-3.81059596852274,3.141934143831179,6.39,0.6010266374296672,2.7978756684364976,1.6814215620196462,0.19704629760860382,-0.335925,-3.74965,3.80619,4.04467,2.3360199999999995,4.517060000000001,17,2.369233731690252e-25
9.57 meters below toilet,toilet,9.573270489800043,below,0.2480660223255488,0.4480777146613577,0.579795651571609,-0.8002478018143656,5.592793269199811,3.1924442294229047,0.2849052346871792,-0.8002478018143656,5.592793269199811,3.1924442294229047,9.57,0.1739386954714827,-0.07394494541810423,2.9373137902686106,23.36016271152714,-2.197996,4.489525,4.172295,3.050288,3.0499499999999995,3.38497,2,0.0
4.72 meters front chair,chair,4.720008415709885,front,0.3087879266575877,0.5528091365513129,1.646884418666743,-2.5661950396173414,-4.40288463526875,0.6557105730122503,0.8079892611264913,-2.5661950396173414,-4.40288463526875,0.6557105730122503,4.72,0.4940653256000229,1.3994651979296537,1.4651562616484277,8.733617462753777,-0.5029300000000001,-3.743325000000001,1.0974825000000004,4.45508,2.560895,4.54655,13,6.677722082553131e-20
2.45 meters left potted plant,potted plant,2.4491692941515906,left,0.1286178196496772,0.1558633364835769,0.1303559195849737,-2.269664457211245,-3.875787853479341,0.4631315402957954,0.11920492940138724,-2.269664457211245,-3.875787853479341,0.4631315402957954,2.45,0.046759000945073,3.3139210547929463,2.213290607056035,62.126695194713996,-0.5029300000000001,-3.743325000000001,1.0974825000000004,4.45508,2.560895,4.54655,13,0.0
8.37 meters right book,book,8.371489559408417,right,0.4297801907110781,0.3835695899080176,0.4611681500150109,-0.113339690353431,1.9602619006513928,2.863856267268733,0.17935980210035168,-0.113339690353431,1.9602619006513928,2.863856267268733,8.37,0.1383504450045032,-0.3255090912991511,1.7555901535675453,27.328926158173033,-0.0818099999999999,3.91699,3.806315,3.78756,2.31477,4.49382,6,0.0
6.44 meters right book,book,6.441935314094537,right,0.2474315409227561,0.3307521880413886,0.5822713575975558,1.53928687552064,-1.816180293516,1.0640301516809192,0.2189674088190931,1.53928687552064,-1.816180293516,1.0640301516809192,6.44,0.1817898339092075,-0.3297924862764958,1.765974163142307,20.218843829917986,-0.5029300000000001,-3.743325000000001,1.0974825000000004,4.45508,2.560895,4.54655,13,4.337234308725361e-265
3.74 meters right book,book,3.739845214251811,right,0.2045035714147596,0.3544110920053516,0.7196240955078705,1.536582151281667,-2.488528382150262,4.132380423955373,0.4617917028267628,1.536582151281667,-2.488528382150262,4.132380423955373,3.74,0.244485765597746,-0.26620388291547775,1.6404447237149125,12.854082073969995,-0.335925,-3.74965,3.80619,4.04467,2.3360199999999995,4.517060000000001,17,3.613672951636741e-46
8.30 meters behind toilet,toilet,8.298811664462004,behind,0.8191567416753978,0.8820649481150152,0.789208674005482,-2.042637465170112,3.924224553924771,0.4295642306594678,0.5281753518523267,-2.042637465170112,3.924224553924771,0.4295642306594678,8.3,0.2646194844345045,4.8018271998945625,1.774470395716465,11.674928999410943,-2.64407,3.17261,1.157961,2.0274,2.3852580000000003,2.63428,1,6.475075080641898e-214
4.41 meters below vase,vase,4.405693784304227,below,0.1254807378838869,0.1773355223963508,0.148702977987059,-8.53878417707975,-3.134376775143595,3.665965749541777,0.11757970106717382,-8.53878417707975,-3.134376775143595,3.665965749541777,4.41,0.0532006567189052,0.25251529033541614,2.7044459076330933,54.79192526099863,-9.21181,-1.2098959999999996,3.83122,3.779779999999999,2.34766,4.358268,3,0.0
8.20 meters above vase,vase,8.199098301049085,above,0.1254807378838869,0.1773355223963508,0.148702977987059,-8.53878417707975,-3.134376775143595,3.665965749541777,0.024779976373841203,-8.53878417707975,-3.134376775143595,3.665965749541777,8.2,0.0532006567189052,-0.1100569004906735,0.44848239337031875,52.06112576431892,-9.21181,-1.2098959999999996,3.83122,3.779779999999999,2.34766,4.358268,3,0.0
3.05 meters behind chair,chair,3.0494877140072982,behind,1.1140342669202692,0.9382184350650282,0.7907253628171735,-8.52460925813587,-1.0824626219564937,0.4674616559853013,0.5637240320286944,-8.52460925813587,-1.0824626219564937,0.4674616559853013,3.05,0.2801377179417278,4.039241071738368,1.470330817799164,11.522783811297222,-9.19996,-1.0966399999999998,1.1632515,3.84848,2.366217,4.1661,10,1.4311201428596285e-29
2.06 meters behind potted plant,potted plant,2.064831321083786,behind,0.2536472882201623,0.3630431626492361,0.2818691152261312,-2.788068313628673,-5.173165826352319,3.464896858239157,0.2526442393039035,-2.788068313628673,-5.173165826352319,3.464896858239157,2.06,0.1089129487947708,5.02972787446466,1.4661788051203652,25.2331751624901,-4.901275,-4.10262,4.02501,5.03139,2.75564,5.33024,4,5.213872319220304e-75
1.97 meters below chair,chair,1.9727544722720864,below,0.3586280346797275,0.2911515412448724,0.1208440272636037,-3.172208772412228,-5.947026885148851,0.5761714111911698,0.4339985843669458,-3.172208772412228,-5.947026885148851,0.5761714111911698,1.97,0.2089205977447382,-0.07652172995264596,2.7588867565884168,8.69308631496752,-5.384375,-4.115965,1.1871730000000005,5.51159,2.4101540000000004,5.33513,12,1.2539899116799501e-18
6.73 meters below chair,chair,6.72652749978847,below,0.4232908608139719,0.586243795381475,0.4795682691689613,0.1092825520365947,9.230518156826234,2.940042220500042,0.3380324078548172,0.1092825520365947,9.230518156826234,2.940042220500042,6.73,0.1729898000696645,0.0569702944282261,3.141592653589793,15.20579970377291,-0.3597799999999997,8.023005,3.81427,5.7488600000000005,2.31866,4.013789999999999,15,0.0
5.63 meters front chair,chair,5.625741400900707,front,0.5694938972587814,1.129834752379162,0.5952622764512654,0.1092825520365947,9.230518156826234,2.940042220500042,0.3041703025571122,0.1092825520365947,9.230518156826234,2.940042220500042,5.63,0.1729898000696645,1.8210324843818313,1.4779923648788251,19.625939123242638,-0.3597799999999997,8.023005,3.81427,5.7488600000000005,2.31866,4.013789999999999,15,7.892145774779473e-233
8.42 meters behind bed,bed,8.41976279081383,behind,2.2596154043704946,0.9520938543802338,1.1688998305599378,0.5674544839182301,1.010382077808382,3.1167603966587496,1.0935023175287402,0.5674544839182301,1.010382077808382,3.1167603966587496,8.42,0.6778846213111483,4.559693822785358,1.2120444331181845,6.860394280130487,-0.1185899999999999,0.0893650000000001,3.794285,3.7397,2.32783,3.03579,5,1.1856743173508527e-34
7.93 meters above book,book,7.93271775439249,above,0.2508192189259297,0.4970657340507847,0.6123154708821479,-1.779408805203084,-0.5092835842504091,1.5100105239436603,0.1636966877278278,-1.779408805203084,-0.5092835842504091,1.5100105239436603,7.93,0.1263821530488601,0.004997647491074972,0.14422399767177269,25.970184697530932,-0.1708699999999998,0.1050600000000001,1.1783815000000002,3.85742,2.3847570000000005,3.0424800000000003,11,0.0
3.95 meters right book,book,3.945477912305334,right,0.1685744985988764,0.2801459377335237,0.3863365346681047,-1.779408805203084,-0.5092835842504091,1.5100105239436603,0.20078837329715785,-1.779408805203084,-0.5092835842504091,1.5100105239436603,3.95,0.1263821530488601,-0.16931932481766152,1.546880863522977,15.300856647591061,-0.1708699999999998,0.1050600000000001,1.1783815000000002,3.85742,2.3847570000000005,3.0424800000000003,11,2.694201400311266e-206
5.48 meters above chair,chair,5.477762976478866,above,0.4669686394483694,0.934020456256048,0.5206387417118565,-8.52460925813587,-1.0824626219564937,0.4674616559853013,0.3221849493272375,-8.52460925813587,-1.0824626219564937,0.4674616559853013,5.48,0.2801377179417278,-0.529079844941761,0.0,12.707889619389377,-9.19996,-1.0966399999999998,1.1632515,3.84848,2.366217,4.1661,10,8.04458576559286e-84
3.95 meters right book,book,3.945477912305334,right,0.1685744985988764,0.2801459377335237,0.3863365346681047,-1.779408805203084,-0.5092835842504091,1.5100105239436603,0.1728206663441612,-1.779408805203084,-0.5092835842504091,1.5100105239436603,3.95,0.1263821530488601,0.5196913191144262,1.4639171354764688,27.425106659716644,-0.1708699999999998,0.1050600000000001,1.1783815000000002,3.85742,2.3847570000000005,3.0424800000000003,11,1.4498106280673217e-202
8.09 meters behind book,book,8.090583538960743,behind,0.1941954872794673,0.4316041581773635,0.5887858925726024,-1.779408805203084,-0.5092835842504091,1.5100105239436603,0.11727515374711249,-1.779408805203084,-0.5092835842504091,1.5100105239436603,8.09,0.1263821530488601,4.630213957237638,1.2857897103217222,22.0423634378784,-0.1708699999999998,0.1050600000000001,1.1783815000000002,3.85742,2.3847570000000005,3.0424800000000003,11,0.0
2.51 meters right book,book,2.511667459697001,right,0.3015414058086754,0.4212738434962004,0.4006187927431456,-1.779408805203084,-0.5092835842504091,1.5100105239436603,0.03790487942886531,-1.779408805203084,-0.5092835842504091,1.5100105239436603,2.51,0.1263821530488601,0.17376945741834293,1.64211700749458,20.76677903889724,-0.1708699999999998,0.1050600000000001,1.1783815000000002,3.85742,2.3847570000000005,3.0424800000000003,11,1.6215116674092163e-77
3.00 meters below book,book,3.000421633094868,below,0.4297801907110781,0.3835695899080176,0.4611681500150109,-0.113339690353431,1.9602619006513928,2.863856267268733,0.08597828956865994,-0.113339690353431,1.9602619006513928,2.863856267268733,3.0,0.1383504450045032,0.028851803085547807,2.9827448408706525,22.847445751342093,-0.0818099999999999,3.91699,3.806315,3.78756,2.31477,4.49382,6,2.927892336290062e-101
3.36 meters right oven,oven,3.358492741609709,right,0.8657664726036014,1.778471902540148,0.1772607868474756,-5.752398861425128,-3.833067873523202,0.785509335543609,0.9851186459227788,-5.752398861425128,-3.833067873523202,0.785509335543609,3.36,0.4949644540744123,-0.09574225098920972,1.2637470790083372,6.957419478464741,-5.384375,-4.115965,1.1871730000000005,5.51159,2.4101540000000004,5.33513,12,7.252652551615538e-08
